Vehicle_ID,Brand,Vehicle_Type,Year,Fuel_Type,Transmission,Engine_CC,Cylinders,Horsepower,Torque_Nm,Mileage_KMPL,Top_Speed,Acceleration_0_100,Fuel_Tank_Capacity,Length_mm,Width_mm,Height_mm,Wheelbase_mm,Ground_Clearance_mm,Kerb_Weight_kg,Seating_Capacity,Airbags,ABS,ESP,Sunroof,Touchscreen_Size,Battery_Capacity_kWh,Charging_Time_Hours,Range_KM,Price_USD,Insurance_Cost,Annual_Maintenance,Resale_Value,Owner_Count,Service_Count,Warranty_Years,Crash_Rating,CO2_Emission,NOx_Emission,Tire_Size,Brake_Disc_Size,Drive_Type,Navigation_System,Bluetooth,Rear_Camera,Parking_Sensors,Cruise_Control,Lane_Assist,Adaptive_Cruise,Blind_Spot_Monitor,Autonomous_Level,City_Mileage,Highway_Mileage,Engine_Temperature,Oil_Consumption,RPM_Max,Gear_Count,Headlight_Type,Color_Code,Manufacturing_Plant,Sales_Last_Year,Market_Share,Customer_Rating,Review_Count,Recall_Count,Road_Tax,Registration_Fee,Import_Duty,Luxury_Index,Performance_Index
V1010,Mahindra,Sedan,2011,Electric,Manual,3191,2,433,333,31.33,228,3.68,45,5158,1716,2149,2745,287,1489,4,8,0,1,1,13.6,35.7,9.7,180,86797,3148,544,52677,2,18,1,2,290,129,15,207,2,1,1,0,0,1,1,0,1,4,20.08,16.14,79,2.31,4998,9,2,424,18,18008,1.61,2.0,3253,8,4508,197,369,1.6,6.5
V1011,Hyundai,EV,2021,Hybrid,Automatic,3233,9,667,731,14.22,235,8.62,98,5196,2294,2097,3301,232,2839,3,0,0,0,1,7.3,110.9,9.1,684,60307,4344,2240,98059,4,15,4,3,285,19,18,386,1,0,1,1,0,1,1,0,0,3,21.1,19.58,71,2.85,6567,5,2,988,5,29436,17.28,2.0,279,2,4168,1181,1818,4.3,2.4
V1012,Tata,EV,2016,Hybrid,Manual,1984,4,531,532,21.48,213,12.39,41,3389,2188,1634,3296,202,809,5,7,0,0,0,16.9,116.5,7.7,575,142165,2249,2082,96588,2,13,6,4,115,9,17,413,1,1,0,1,0,0,0,1,0,1,5.36,23.12,80,1.09,5307,5,3,931,13,41092,17.28,2.6,2925,3,2666,452,2101,9.3,7.1
V1013,Mahindra,Sedan,2010,Hybrid,Automatic,4185,4,292,116,23.44,166,10.55,54,3704,1960,2158,2993,161,1060,8,3,0,1,0,10.4,113.3,3.5,543,30042,1217,1330,72135,4,15,6,2,263,24,16,399,1,0,1,0,1,1,0,0,1,0,24.26,9.46,82,1.6,4656,9,3,256,4,55450,23.27,4.6,581,0,3377,645,12977,6.3,2.6
V1014,Mahindra,SUV,2018,Electric,Automatic,4917,2,172,239,28.75,218,15.85,81,4414,2109,1734,2448,288,2742,8,3,1,0,1,10.0,56.9,2.6,512,60930,3474,452,37046,1,4,4,1,149,24,20,376,2,0,0,1,0,1,0,1,1,4,19.53,12.48,79,1.2,6660,8,2,767,2,69661,12.48,1.0,4959,8,474,1556,3490,5.8,7.2
V1015,BMW,Sedan,2024,Hybrid,Manual,3704,6,556,88,9.18,174,12.88,114,4731,1604,1746,2246,220,2473,6,4,0,0,1,11.7,103.4,3.3,586,105883,2541,1002,49064,2,8,8,2,299,53,19,278,3,0,0,1,1,1,1,1,1,2,11.1,16.86,83,0.12,6211,7,1,750,16,52055,5.83,4.6,254,7,4646,416,1779,3.4,3.1
V1016,BMW,Sedan,2010,Diesel,Manual,1274,11,501,312,34.85,287,5.44,82,4023,1598,1607,3344,125,3019,2,7,0,0,1,5.6,101.3,2.8,700,41756,389,1455,71350,4,1,3,5,35,32,20,344,2,0,1,1,1,0,0,0,1,3,21.59,39.09,87,1.22,5909,5,3,732,9,61340,1.21,1.6,4277,1,3797,1907,7674,4.3,2.1
V1017,Toyota,SUV,2011,Hybrid,Automatic,1882,8,623,178,20.69,171,4.06,52,4128,2010,1548,2413,299,2860,5,4,1,0,0,7.2,38.3,11.7,231,61268,2009,3988,47893,3,17,2,1,286,94,18,387,3,1,0,1,0,0,0,1,1,1,10.63,18.6,78,2.4,7730,4,1,676,9,20193,10.45,5.0,4777,7,3162,1487,1364,9.1,2.5
V1018,Hyundai,SUV,2011,Electric,Automatic,3358,11,327,738,15.55,263,12.64,45,4133,1884,1465,2438,145,1991,7,7,1,1,1,14.6,99.5,5.3,505,56901,2469,3009,63272,3,5,3,3,207,13,19,286,2,1,1,0,0,0,1,1,0,0,22.46,23.43,108,1.83,6046,6,3,718,6,6255,7.62,4.8,825,6,4790,1382,7294,7.0,1.0
V1019,Honda,Hatchback,2024,Petrol,Manual,2847,10,569,895,31.85,132,3.4,86,4340,1904,1780,3279,183,2419,8,9,1,0,0,6.1,4.4,0.9,407,107986,4538,1848,94152,2,8,4,4,105,64,18,287,2,0,0,0,0,1,1,0,1,2,7.25,14.28,97,0.39,7162,9,1,758,11,46707,19.05,3.0,3833,5,3350,851,13720,8.1,7.5
V1020,Ford,Sedan,2016,Diesel,Automatic,3547,8,445,287,28.19,233,11.79,68,3333,2017,1634,2549,178,1120,4,0,1,0,1,12.8,71.6,14.5,738,136386,3341,258,69649,2,0,5,2,157,109,20,372,1,1,0,1,1,1,1,1,0,1,19.07,27.54,72,2.56,5140,4,1,236,1,33587,8.92,3.1,700,0,4695,967,12654,5.1,7.6
V1021,Ford,Truck,2013,Hybrid,Manual,1775,10,446,210,33.73,243,17.1,82,5305,1975,1841,2306,228,2142,5,9,0,0,0,8.2,27.6,13.3,673,13626,405,2077,66674,1,8,2,1,120,79,15,410,3,0,0,1,0,0,1,1,1,1,15.81,16.98,89,1.64,4266,9,1,773,4,55768,23.73,2.9,1381,6,4659,1908,11534,6.7,5.6
V1022,BMW,Coupe,2011,Electric,Automatic,2606,9,172,483,16.93,225,11.63,71,3884,2208,2058,3030,240,2436,6,8,0,0,1,10.1,14.5,13.9,444,146496,1186,1056,15760,2,15,1,5,54,53,18,268,2,0,1,0,1,0,1,0,0,2,6.93,14.62,75,2.54,5845,6,2,527,13,21063,24.06,3.5,3897,9,212,1207,12931,3.2,2.5
V1023,Tata,Coupe,2015,Petrol,Automatic,989,3,672,231,22.92,277,8.82,87,5420,2144,1405,2247,152,3176,7,5,1,1,1,8.8,9.2,14.9,373,20857,727,2171,23927,1,12,3,1,11,124,19,359,2,0,1,1,0,0,0,1,1,0,9.84,24.53,96,1.78,5708,6,1,551,13,50224,15.56,1.4,1674,6,3297,1792,3676,7.3,1.8
V1024,Honda,Hatchback,2012,Hybrid,Manual,3534,2,684,133,23.45,266,12.65,68,5052,2270,1862,2536,269,2794,2,2,0,1,1,9.6,83.6,2.6,674,141052,2195,503,88475,1,8,4,5,144,130,19,371,1,0,0,0,0,1,1,0,0,0,5.25,8.18,71,1.72,7630,5,1,711,13,52970,23.22,1.1,2728,8,2478,1356,2426,4.8,1.2
V1025,Honda,Truck,2022,Petrol,Automatic,3805,8,140,199,34.47,264,9.87,43,4014,1936,1380,3249,140,2743,2,7,0,0,1,14.3,40.8,5.9,195,34431,616,2952,63367,3,12,3,3,135,133,18,392,1,1,0,1,1,0,0,1,1,4,14.38,8.25,98,0.41,7211,5,1,949,2,56647,19.05,1.2,3157,0,2024,1851,8264,5.0,2.5
V1026,Toyota,Hatchback,2015,Petrol,Automatic,2699,8,172,752,10.03,239,11.18,34,4372,1522,1432,3003,189,2838,6,8,0,0,1,8.9,87.0,11.4,262,92976,934,615,99955,3,8,2,4,2,24,23,286,3,0,1,1,1,0,0,0,0,3,11.03,15.01,107,0.59,6293,4,3,918,9,64210,13.72,2.8,3389,1,239,122,8089,6.8,9.0
V1027,Mercedes,Hatchback,2023,Diesel,Manual,2067,9,61,999,16.25,182,17.12,64,3279,2064,2096,3480,231,1918,6,5,1,0,0,12.4,7.8,10.4,382,90711,2225,2879,14588,4,10,7,3,143,140,20,300,2,0,1,0,0,1,1,0,0,2,16.97,9.18,72,2.92,7732,9,1,240,8,53654,4.59,2.1,4308,8,1524,530,2962,9.4,3.2
V1028,Tata,EV,2021,Electric,Manual,2328,6,279,707,13.15,138,8.79,116,3402,2176,2199,2207,123,2404,4,6,0,0,1,11.2,37.8,2.3,166,34385,2356,1487,54233,3,3,9,2,29,116,23,207,3,1,0,0,1,1,1,0,0,2,10.94,11.46,85,0.76,7829,6,3,182,7,21036,11.52,3.5,384,8,3049,1425,13559,1.6,4.2
V1029,Ford,EV,2020,Hybrid,Manual,4002,4,625,666,15.25,211,17.42,104,4452,2213,1437,2824,213,3165,8,0,1,0,1,13.6,64.7,12.2,509,26639,3444,3553,46738,3,1,3,1,236,135,21,276,2,0,0,0,1,1,1,1,0,2,11.0,18.84,99,2.93,5510,4,1,276,4,4526,14.07,5.0,342,5,3268,609,859,8.4,1.9
V1030,Tata,Truck,2016,Electric,Automatic,4356,9,284,704,21.1,177,16.58,47,4899,1957,1483,3476,194,1035,2,4,0,0,1,17.2,94.9,3.4,372,93530,2570,2679,35397,2,5,1,5,278,148,20,399,3,0,1,0,1,0,0,0,0,0,19.86,33.68,109,1.64,4475,7,1,297,18,88939,21.61,2.5,1988,5,616,1399,12048,3.6,3.0
V1031,Ford,Coupe,2010,Hybrid,Automatic,4690,7,444,499,18.06,302,5.94,105,4450,1582,1700,2918,181,2769,7,4,0,1,0,14.5,38.3,3.4,597,29563,1739,1055,84189,3,13,1,5,114,24,18,448,1,0,1,1,1,1,1,0,0,3,5.96,26.31,71,0.49,4976,4,2,723,3,27706,12.09,3.3,4060,3,2716,794,4138,5.0,5.7
V1032,Toyota,Coupe,2017,Diesel,Automatic,1446,4,462,501,18.66,209,4.04,38,4882,1644,1629,2502,213,1133,5,9,0,0,1,7.8,75.1,8.1,514,123672,852,2299,78367,4,3,0,1,103,78,14,286,2,1,1,0,1,1,1,0,1,4,23.06,24.41,86,0.39,5207,8,3,667,6,47932,22.45,2.7,4940,3,987,1516,2424,1.2,6.5
V1033,BMW,Sedan,2016,Diesel,Manual,3688,2,697,183,30.79,236,4.51,103,4755,1584,2084,2838,214,2708,7,3,1,1,0,5.4,106.3,8.9,475,144848,1015,3733,73260,2,5,3,1,117,67,18,242,3,0,1,1,0,0,1,0,0,1,22.05,17.39,110,0.71,5960,4,1,790,12,28251,16.89,4.4,3110,4,3204,149,9256,3.7,3.2
V1034,Mercedes,Coupe,2022,Diesel,Manual,3235,4,189,931,33.11,181,3.27,87,5294,1577,1807,2255,271,1175,3,5,0,1,1,8.4,73.9,8.7,616,147783,4211,1812,78619,4,18,9,2,4,11,23,328,1,1,1,0,0,1,1,0,1,1,18.36,37.82,81,2.78,4557,8,3,520,12,79403,3.51,4.6,4083,2,149,1132,10409,5.5,1.5
V1035,Mercedes,Van,2018,Petrol,Manual,1400,6,112,333,9.9,142,4.42,46,4456,1956,2151,2925,174,1960,3,6,1,0,1,12.7,28.0,1.4,563,90970,2013,3094,21816,3,5,8,3,247,31,15,308,1,0,0,0,1,0,1,1,1,2,16.86,20.7,104,1.3,4882,8,3,500,8,11408,24.88,4.5,4516,0,4051,557,4017,1.5,4.5
V1036,Honda,Coupe,2010,Petrol,Automatic,3163,4,475,306,13.64,246,13.25,36,4749,1500,1368,2725,256,3435,6,8,1,1,0,5.7,2.9,13.2,604,93553,3689,707,44240,4,1,6,5,120,127,18,378,3,0,1,1,0,0,0,1,1,3,22.85,10.79,112,1.25,6194,8,2,797,1,62622,13.23,4.9,2799,0,3660,307,10451,5.4,3.1
V1037,Honda,SUV,2022,Hybrid,Automatic,2861,2,306,191,26.12,256,4.07,75,4366,1550,1845,2673,250,2370,4,0,1,1,1,11.5,104.4,4.0,735,90879,1407,3788,8276,2,17,9,2,285,95,18,351,2,1,0,0,0,1,0,1,1,0,8.71,27.75,70,1.01,8761,7,2,570,4,45771,9.86,1.1,3241,6,118,462,13804,9.3,3.0
V1038,Ford,Coupe,2021,Diesel,Manual,1041,6,498,589,17.68,259,7.78,42,4596,2184,2073,2227,150,3360,3,5,0,1,0,12.8,2.6,1.9,382,144727,4506,2567,81530,1,12,6,3,148,91,15,426,2,0,1,0,1,1,0,1,1,3,6.58,11.64,114,0.53,6667,4,2,317,11,90406,16.51,4.4,1989,0,4921,1525,11943,1.9,9.6
V1039,Mahindra,Hatchback,2018,Electric,Automatic,2841,11,262,552,14.86,248,15.67,69,3670,2216,1352,2277,159,2119,2,6,0,1,0,9.3,105.0,13.3,373,52859,550,1373,25499,4,8,6,2,83,140,18,351,1,0,0,0,0,1,1,1,0,3,9.79,19.05,84,1.51,8959,4,2,927,3,94208,2.81,4.0,3415,0,1573,1138,10278,7.9,6.5
V1040,Mercedes,SUV,2024,Petrol,Manual,3624,8,243,178,15.97,177,3.35,71,4235,2271,1749,3439,155,2655,7,2,0,1,1,15.0,63.5,14.3,561,60098,2730,3288,90576,4,18,7,5,230,30,17,216,2,1,1,0,1,1,1,1,0,0,20.89,24.24,95,0.48,8677,7,2,828,13,2304,15.95,1.9,1850,2,4161,644,8560,4.7,6.0
V1041,Toyota,Van,2016,Electric,Automatic,3412,8,182,232,16.71,241,15.22,38,4553,1945,1504,2564,271,2172,7,7,0,1,0,6.4,112.7,12.9,721,130413,2354,3013,84495,2,12,0,1,287,77,14,332,2,1,1,1,1,1,1,1,0,2,5.69,35.98,106,2.52,8790,6,2,731,17,92869,12.51,4.8,306,9,2706,1227,10996,6.9,4.7
V1042,Honda,Truck,2018,Electric,Manual,2163,10,460,940,30.91,120,7.23,79,4167,1948,1425,2865,125,1672,6,4,1,0,1,6.0,95.9,12.1,484,8526,758,1635,73635,2,10,9,1,160,19,16,347,2,1,0,1,0,1,0,0,1,3,16.66,23.79,90,1.17,5610,5,2,274,10,87365,10.23,1.6,3614,3,551,315,8342,3.3,4.9
V1043,Ford,Hatchback,2020,Electric,Automatic,2278,11,353,993,11.69,153,4.77,56,3557,1987,2046,2725,185,2052,8,8,1,1,1,14.5,119.8,9.8,371,76760,507,3911,87112,4,0,9,3,271,145,14,220,1,1,0,0,1,0,1,1,0,1,24.91,30.47,118,1.19,7488,4,2,122,12,31231,23.83,3.7,2750,3,3865,870,1134,2.4,5.9
V1044,Ford,SUV,2011,Petrol,Automatic,3356,11,339,975,27.14,215,13.45,95,3867,2299,1342,2898,194,3117,8,4,1,1,0,11.4,42.1,8.3,186,55837,1199,2725,37946,3,6,7,4,37,59,18,431,3,1,1,0,1,0,1,0,0,0,22.11,39.77,100,1.47,6454,5,1,824,15,52528,13.11,1.9,4965,1,2538,1152,13791,2.4,7.3
V1045,Mercedes,Hatchback,2016,Diesel,Manual,1575,4,669,957,22.93,245,12.43,34,3572,1533,2051,3535,123,2651,5,8,0,1,0,13.9,92.1,1.3,427,19536,3761,2482,57204,4,14,3,3,225,133,17,257,2,0,1,0,1,1,1,0,0,4,15.43,12.21,94,1.39,8494,9,3,334,10,33970,5.56,2.7,1136,0,4410,1388,13747,1.6,7.3
V1046,Tata,Van,2022,Diesel,Manual,4814,8,257,417,16.01,237,16.16,58,4231,1847,2182,3082,198,2114,6,9,1,0,0,10.7,48.2,6.1,345,36541,3685,1541,53886,2,0,3,4,141,92,20,358,1,1,1,1,1,0,0,1,0,2,6.27,16.79,92,2.99,5946,9,2,112,14,49167,11.53,3.9,206,2,1649,711,5166,2.7,2.5
V1047,Ford,Coupe,2017,Electric,Manual,834,2,570,785,19.33,167,14.03,66,4345,1594,1410,3230,253,1524,5,3,0,1,0,8.2,57.6,5.6,633,87083,321,3079,73652,1,11,3,2,291,42,18,309,1,0,1,1,1,1,1,0,0,0,21.63,20.63,93,1.68,8810,7,2,200,13,58685,22.99,3.3,4592,3,3574,996,5119,7.0,5.5
V1048,Hyundai,Truck,2017,Hybrid,Automatic,3952,5,203,901,14.92,208,15.05,67,4571,1571,2060,3226,237,2852,8,8,1,0,1,15.6,75.3,3.9,391,42531,709,1897,17563,1,6,5,2,150,129,23,427,3,0,1,1,0,0,0,0,1,4,16.98,21.5,107,0.36,8799,9,3,635,5,21707,4.48,2.7,3451,2,227,609,5694,8.9,4.7
V1049,Honda,Hatchback,2011,Electric,Manual,2755,5,668,242,24.51,236,7.23,112,3289,2050,1962,3118,232,877,6,4,0,1,1,15.4,104.8,10.9,473,16712,1194,394,94324,3,14,6,5,113,59,17,338,2,0,0,1,0,0,1,0,0,4,7.3,21.15,97,1.86,6808,9,1,975,6,25068,5.43,2.3,3812,7,4955,966,10976,8.3,8.8
V1050,Tata,SUV,2025,Diesel,Automatic,2385,6,260,799,10.2,248,5.66,37,3739,1653,1482,2949,213,3421,6,9,0,0,0,14.0,118.1,7.4,341,112101,814,854,94464,4,18,5,4,236,30,15,379,2,1,0,0,1,0,0,0,1,3,6.88,37.04,90,0.54,7825,6,3,622,2,99034,0.42,4.4,3623,9,2861,940,6136,7.2,6.7
V1051,BMW,Hatchback,2018,Hybrid,Automatic,4743,8,183,760,8.14,135,14.26,94,4068,1749,2147,2562,298,931,6,8,1,0,1,8.5,92.2,1.2,166,73455,4409,1494,11847,1,0,0,5,65,4,17,342,3,1,1,0,1,1,0,1,1,3,23.19,30.85,112,0.19,7536,6,3,884,17,12008,0.45,1.6,3600,0,4556,1321,5485,2.0,5.8
V1052,Mercedes,Sedan,2023,Electric,Manual,3873,8,246,240,24.95,308,15.1,115,3240,2173,1394,3497,181,1400,8,2,1,1,1,12.7,50.1,3.3,673,82744,2434,285,28155,4,16,7,1,257,9,15,410,3,0,0,0,0,0,0,1,1,3,18.38,27.45,87,2.92,7802,6,2,551,4,26523,20.75,2.7,2552,1,4764,1863,4164,3.6,2.0
V1053,Honda,Van,2021,Petrol,Manual,1821,5,385,659,13.25,311,17.86,46,3939,1937,1673,3005,198,2572,5,3,1,1,1,9.7,50.6,10.2,550,137749,3895,1369,81671,2,16,9,4,248,88,21,334,1,1,0,1,1,1,1,1,1,0,21.59,17.9,105,2.34,8177,9,3,530,14,74807,18.33,4.6,4309,6,1515,917,2346,3.8,6.5
V1054,Hyundai,Hatchback,2013,Hybrid,Automatic,4261,8,523,880,9.92,310,9.19,100,5146,1617,1819,2938,255,1865,5,8,1,0,1,6.2,88.5,1.1,171,13109,3256,736,85310,1,2,6,3,179,129,16,442,1,1,0,0,0,0,1,1,1,0,22.58,34.36,104,2.94,8699,7,3,892,10,78357,8.94,4.4,310,3,301,659,5039,3.2,2.1
V1055,Honda,SUV,2015,Hybrid,Manual,3413,4,408,477,18.71,188,8.58,118,4424,2270,2199,3238,145,2936,6,9,0,1,0,16.9,28.7,12.8,623,57268,1860,1391,69278,3,11,5,1,189,125,22,227,3,1,1,1,1,0,0,1,0,2,16.44,38.56,114,1.49,5970,8,2,705,3,61315,17.49,2.6,2709,7,2469,463,4897,5.6,4.0
V1056,Ford,SUV,2010,Electric,Manual,4643,7,462,356,9.37,141,14.65,74,4128,1805,1659,3415,298,3249,3,5,1,0,0,6.8,13.3,7.4,269,62615,1566,3814,20309,2,5,5,1,153,10,17,250,2,1,0,1,1,0,0,1,0,3,15.35,34.28,78,1.64,7822,8,2,812,3,55935,9.94,4.1,1992,2,617,74,14631,5.8,2.3
V1057,Mercedes,Coupe,2024,Electric,Automatic,2300,3,405,895,31.94,212,8.11,33,5236,1767,2199,2684,292,3143,4,1,1,0,1,17.4,42.6,7.2,359,90503,2469,3408,2619,3,10,4,3,195,55,19,434,1,0,1,0,1,0,1,1,0,4,13.61,8.05,107,0.59,6819,5,2,632,15,49529,23.83,4.3,272,5,1441,333,10442,4.2,7.2
V1058,Mercedes,Van,2015,Petrol,Automatic,961,11,570,995,8.75,314,16.96,65,4124,1553,1995,2227,163,2663,8,6,1,0,0,10.8,34.5,8.9,455,93708,3938,629,85194,2,2,5,1,261,82,23,385,1,0,0,0,1,0,1,1,1,1,11.34,28.36,99,0.82,4902,8,2,951,6,82252,24.18,4.6,3643,8,4876,1522,8252,4.2,2.9
V1059,Mercedes,SUV,2014,Petrol,Automatic,2781,10,206,583,23.63,195,15.88,99,4781,1735,1580,2913,252,2118,4,1,0,0,0,7.4,35.6,12.4,419,110471,1049,3723,52108,1,7,8,4,142,136,18,204,2,1,1,0,1,1,0,1,0,2,13.69,9.64,113,2.53,4364,8,3,822,17,38558,9.88,3.2,4087,0,2088,930,5041,8.5,4.5
V1060,Ford,Hatchback,2025,Diesel,Manual,1795,6,207,975,19.84,273,9.43,60,3589,1888,1494,3262,189,1415,4,1,0,0,0,12.0,28.0,5.2,434,91309,3727,2168,36707,3,13,9,5,100,98,23,204,1,0,0,1,1,1,1,1,0,0,20.48,16.24,103,1.13,8258,6,3,751,12,46269,21.37,1.8,1823,0,3645,350,11202,8.1,9.1
V1061,Hyundai,Truck,2012,Diesel,Manual,4142,7,548,471,26.14,263,14.26,48,4817,2233,2163,3496,273,3269,5,0,1,1,1,16.3,5.1,10.2,376,134446,2227,3058,22337,3,13,8,1,243,148,14,293,2,1,1,1,1,0,1,0,1,2,17.04,9.9,101,2.5,7119,6,1,392,11,7759,19.35,2.0,3274,7,4620,1141,3901,3.8,2.8
V1062,Honda,Sedan,2022,Hybrid,Automatic,4598,5,699,214,16.86,298,14.32,90,3455,2262,1494,3454,237,2688,5,2,0,0,1,14.5,2.1,8.5,530,114661,4104,3908,83537,2,9,9,4,11,72,22,445,2,1,1,0,0,0,1,1,1,2,22.85,27.32,72,2.16,6558,9,1,909,4,60714,7.82,2.2,4539,2,3902,1080,1337,9.2,5.6
V1063,Toyota,Coupe,2014,Diesel,Automatic,2075,11,610,274,12.19,205,4.55,83,3908,1900,1966,2285,187,1846,3,5,1,0,1,15.5,118.5,4.0,609,14154,4002,3014,68504,3,1,7,2,238,114,14,295,2,0,0,0,0,0,1,0,1,2,13.87,29.97,72,0.61,5863,5,3,200,6,77340,5.88,3.4,4350,4,3375,866,1184,9.6,4.8
V1064,Toyota,Coupe,2019,Hybrid,Automatic,1816,8,397,480,34.51,304,16.54,68,5038,2123,1392,2325,138,1374,4,7,0,1,0,13.6,51.3,13.2,156,72288,2656,893,49614,2,13,9,4,48,6,21,207,3,0,1,1,0,0,0,0,1,2,17.14,11.66,97,1.57,4115,4,1,601,1,32893,11.51,1.1,521,0,3754,1210,4426,3.9,1.2
V1065,Honda,Van,2019,Petrol,Manual,1137,10,532,719,30.65,148,10.58,103,5144,2266,1971,3011,139,2990,4,8,0,0,1,14.0,46.1,12.0,178,59195,2635,3691,93428,2,8,8,5,41,79,22,263,3,0,1,0,1,1,1,0,0,1,17.63,20.28,113,2.06,6384,5,3,403,16,46573,19.56,3.5,977,4,2534,1237,1551,4.2,8.1
V1066,BMW,Sedan,2019,Electric,Automatic,1678,8,210,112,31.23,188,15.4,119,3209,1802,1360,2736,232,1792,6,6,0,1,1,16.0,81.6,9.9,182,28581,606,2247,93155,2,2,9,4,165,143,22,337,3,1,1,1,1,0,1,0,1,3,16.83,22.6,84,0.78,8976,5,1,970,15,96862,24.01,2.5,3723,5,4973,132,12625,5.6,1.6
